vdc1,vdc2,idc1,idc2,irr,pvt,f_nv
1.6154,270.795,0.1148,8.7848,961.138,48.4802,3
261.021,240.851,8.5355,8.0603,886.066,44.5751,2
274.675,278.581,6.1974,6.0169,740.789,43.7307,0
251.51,228.524,9.18,8.6806,986.94,52.7537,2
264.43,242.721,8.4224,8.0001,885.693,44.5868,2
261.424,2.1683,9.1514,0.0443,957.069,42.6515,3
284.096,270.872,5.0963,5.0078,636.633,36.6968,0
263.013,244.845,9.0239,8.5303,957.751,45.9322,2
257.411,2.1258,8.8938,0.0458,935.96,49.902,3
260.039,260.942,7.9611,7.7974,896.942,50.4648,0
264.22,200.645,8.9382,8.8127,948.308,45.1007,1
250.949,2.1288,9.0296,0.0465,940.331,52.3228,3
253.831,236.606,8.6345,8.1361,931.349,54.3421,2
262.483,240.414,8.6637,8.327,907.712,46.4433,2
268.2,204.121,9.0493,8.8799,960.068,41.5571,1
266.898,2.1511,8.9993,0.0435,952.684,41.6696,3
272.762,265.459,6.9054,6.7952,734.28,39.3474,0
279.442,248.219,3.209,1.1233,364.602,33.9539,4
265.4,2.1032,8.7353,0.043,923.029,43.2068,3
274.75,329.059,3.5856,0.2237,477.66,26.1693,4
262.225,347.805,4.528,0.1188,563.453,19.6776,4
254.379,195.634,8.7495,8.4804,917.858,52.8676,1
260.849,258.219,7.8086,6.704,816.855,48.2992,2
278.233,282.6,4.2936,3.6263,527.306,39.1147,4
259.076,230.167,8.9719,8.7863,971.412,50.2106,2
282.222,258.447,3.6682,3.3989,403.918,30.9832,4
274.146,269.079,5.4712,5.2293,590.395,37.3888,0
302.748,301.35,1.8147,1.5636,225.879,16.1407,4
258.176,2.1004,8.9484,0.0411,926.398,43.5887,3
279.889,320.598,0.6557,0.2261,205.816,13.5828,4
265.046,276.042,7.8047,7.4627,836.869,41.2145,0
261.228,205.707,9.0351,8.6257,947.253,45.2024,1
253.479,238.006,9.0014,8.3553,935.642,49.0093,2
