timestamp,inverter_id,dc_power_kw,ac_power_kw,dc_voltage_v,dc_current_a,module_temp_c,inverter_efficiency,status_code
2025-04-01 00:00:00,INV-01,0.0,0.0,0.0,0.0,21.81,,NORMAL
2025-04-01 00:30:00,INV-01,0.0,0.0,0.0,0.0,23.11,,NORMAL
2025-04-01 01:00:00,INV-01,0.0,0.0,0.0,0.0,22.41,,NORMAL
2025-04-01 01:30:00,INV-01,0.0,0.0,0.0,0.0,19.84,,NORMAL
2025-04-01 02:00:00,INV-01,0.0,0.0,0.0,0.0,21.14,,NORMAL
2025-04-01 02:30:00,INV-01,0.0,0.0,0.0,0.0,15.05,,NORMAL
2025-04-01 03:00:00,INV-01,0.0,0.0,0.0,0.0,16.62,,NORMAL
2025-04-01 03:30:00,INV-01,0.0,0.0,0.0,0.0,21.43,,NORMAL
2025-04-01 04:00:00,INV-01,0.0,0.0,0.0,0.0,17.34,,NORMAL
2025-04-01 04:30:00,INV-01,0.0,0.0,0.0,0.0,17.17,,NORMAL
2025-04-01 05:00:00,INV-01,0.0,0.0,0.0,0.0,18.89,,NORMAL
2025-04-01 05:30:00,INV-01,0.0,0.0,0.0,0.0,20.04,,NORMAL
2025-04-01 06:00:00,INV-01,12.0403,11.7005,607.78,0.0198,23.59,0.97178,NORMAL
2025-04-01 06:30:00,INV-01,19.92,19.431,588.85,0.0338,32.22,0.97545,NORMAL
2025-04-01 07:00:00,INV-01,17.9527,17.1782,591.58,0.0303,36.36,0.95686,NORMAL
2025-04-01 07:30:00,INV-01,53.0134,51.7596,614.91,0.0862,42.81,0.97635,NORMAL
2025-04-01 08:00:00,INV-01,57.3809,55.8499,599.15,0.0958,39.65,0.97332,NORMAL
2025-04-01 08:30:00,INV-01,74.6172,71.6487,615.25,0.1213,46.45,0.96022,NORMAL
2025-04-01 09:00:00,INV-01,33.3038,32.1425,617.97,0.0539,40.06,0.96513,NORMAL
2025-04-01 09:30:00,INV-01,75.7793,72.7669,615.98,0.123,51.47,0.96025,NORMAL
2025-04-01 10:00:00,INV-01,83.5486,80.4288,615.02,0.1358,58.89,0.96266,NORMAL
2025-04-01 10:30:00,INV-01,78.4671,76.0186,596.46,0.1316,59.84,0.9688,NORMAL
2025-04-01 11:00:00,INV-01,49.9385,48.3907,617.68,0.0808,57.29,0.969,NORMAL
2025-04-01 11:30:00,INV-01,82.9678,81.0791,590.29,0.1406,56.88,0.97724,NORMAL
2025-04-01 12:00:00,INV-01,108.5367,104.2703,580.15,0.1871,52.13,0.96069,NORMAL
2025-04-01 12:30:00,INV-01,65.0177,62.7415,604.66,0.1075,51.81,0.96499,NORMAL
2025-04-01 13:00:00,INV-01,61.0318,58.4888,588.16,0.1038,53.25,0.95833,NORMAL
2025-04-01 13:30:00,INV-01,95.7976,92.8945,592.32,0.1617,58.17,0.96969,NORMAL
2025-04-01 14:00:00,INV-01,107.7285,102.9709,583.96,0.1845,51.1,0.95584,NORMAL
2025-04-01 14:30:00,INV-01,76.273,74.3631,589.87,0.1293,48.89,0.97496,NORMAL
2025-04-01 15:00:00,INV-01,63.9645,61.6434,591.2,0.1082,46.58,0.96371,NORMAL
2025-04-01 15:30:00,INV-01,59.169,57.1786,587.19,0.1008,42.41,0.96636,NORMAL
2025-04-01 16:00:00,INV-01,45.3183,43.8434,583.26,0.0777,42.19,0.96746,NORMAL
2025-04-01 16:30:00,INV-01,46.4385,45.0469,614.3,0.0756,33.87,0.97003,NORMAL
2025-04-01 17:00:00,INV-01,27.8861,26.8796,588.65,0.0474,33.86,0.96391,NORMAL
2025-04-01 17:30:00,INV-01,0.0,0.0,612.52,0.0364,28.34,0.98162,MAINT
2025-04-01 18:00:00,INV-01,13.5756,13.0188,587.05,0.0231,22.19,0.95898,NORMAL
2025-04-01 18:30:00,INV-01,0.0,0.0,0.0,0.0,23.8,,FAULT
2025-04-01 19:00:00,INV-01,0.0,0.0,0.0,0.0,20.59,,NORMAL
2025-04-01 19:30:00,INV-01,0.0,0.0,0.0,0.0,16.08,,NORMAL
2025-04-01 20:00:00,INV-01,0.0,0.0,0.0,0.0,18.89,,NORMAL
2025-04-01 20:30:00,INV-01,0.0,0.0,0.0,0.0,27.36,,NORMAL
2025-04-01 21:00:00,INV-01,0.0,0.0,0.0,0.0,12.71,,NORMAL
2025-04-01 21:30:00,INV-01,0.0,0.0,0.0,0.0,15.2,,NORMAL
2025-04-01 22:00:00,INV-01,0.0,0.0,0.0,0.0,22.92,,NORMAL
2025-04-01 22:30:00,INV-01,0.0,0.0,0.0,0.0,17.73,,NORMAL
