station_id,reading_time,ghi_wm2,dni_wm2,dhi_wm2,ambient_temp,temp_unit,wind_speed_ms,relative_humidity_pct,barometric_pressure_hpa,solar_zenith_angle_deg,cloud_opacity_pct,precipitation_mm
WS-North,2025-04-01 00:00:00,2.975,1.975,15.808,19.99,C,8.656,64.6,1026.34,75.077,38.34,0.107
WS-North,2025-04-01 00:15:00,0.254,2.284,3.017,15.26,C,6.542,51.35,1018.9,79.0,52.28,0.127
WS-North,2025-04-01 00:30:00,6.236,0.545,6.747,17.29,C,10.748,39.47,1011.39,43.376,19.23,0.266
WS-North,2025-04-01 00:45:00,6.142,0.678,1.746,15.87,C,11.092,70.66,1011.79,64.941,27.66,0.166
WS-North,2025-04-01 01:00:00,2.294,0.599,0.61,16.73,C,1.473,71.81,1020.33,63.319,27.04,0.601
WS-North,2025-04-01 01:15:00,4.119,0.813,3.817,13.58,C,2.028,63.07,1022.28,70.663,40.22,0.889
WS-North,2025-04-01 01:30:00,5.527,0.651,12.278,16.65,C,6.078,53.99,992.04,49.66,55.22,0.661
WS-North,2025-04-01 01:45:00,18.286,3.855,0.553,20.02,C,8.413,65.21,1002.4,28.852,57.97,0.171
WS-North,2025-04-01 02:00:00,4.788,0.942,3.325,15.51,C,2.952,74.76,1016.68,14.295,46.36,0.08
WS-North,2025-04-01 02:15:00,8.091,1.199,1.866,17.59,C,6.626,23.02,1013.82,75.782,29.4,2.041
WS-North,2025-04-01 02:30:00,3.834,2.113,0.634,17.11,C,15.721,24.85,1021.43,78.955,11.02,0.596
WS-North,2025-04-01 02:45:00,1.134,0.592,5.666,22.74,C,10.118,54.31,1025.99,55.532,38.56,0.109
WS-North,2025-04-01 03:00:00,1.247,0.712,1.708,15.97,C,1.501,69.28,1000.99,23.904,23.71,0.024
WS-North,2025-04-01 03:15:00,9.069,4.329,11.562,16.97,C,9.028,48.32,1010.78,39.705,34.66,0.312
WS-North,2025-04-01 03:30:00,17.785,4.575,3.751,11.53,C,2.779,42.89,1022.55,12.952,100.0,0.089
WS-North,2025-04-01 03:45:00,11.809,0.401,4.207,18.95,C,6.645,69.72,1019.89,69.262,5.42,0.117
WS-North,2025-04-01 04:00:00,10.38,4.407,8.71,14.22,C,7.249,58.99,1009.66,47.944,0.0,0.083
WS-North,2025-04-01 04:15:00,1.266,3.996,6.473,14.83,C,5.315,57.76,1011.0,14.695,35.22,0.007
WS-North,2025-04-01 04:30:00,7.684,3.927,13.869,16.66,C,30.909,49.14,1020.55,23.1,35.54,0.222
WS-North,2025-04-01 04:45:00,5.234,3.104,1.023,19.8,C,7.124,48.69,1006.87,16.621,64.02,0.254
WS-North,2025-04-01 05:00:00,4.813,0.12,0.683,16.54,C,7.312,86.36,1014.67,62.741,17.79,0.002
WS-North,2025-04-01 05:15:00,11.898,1.014,4.054,22.28,C,7.485,37.89,1024.27,14.449,2.87,0.32
WS-North,2025-04-01 05:30:00,2.446,6.0,3.214,19.74,C,10.844,53.94,1001.09,22.863,23.66,0.021
WS-North,2025-04-01 05:45:00,48.509,0.0,32.763,22.86,C,7.967,28.87,1001.19,59.303,43.6,0.418
WS-North,2025-04-01 06:00:00,69.529,52.783,32.177,15.99,C,3.081,75.28,1020.93,10.01,60.6,0.129
WS-North,2025-04-01 06:15:00,144.935,110.647,51.58,22.04,C,12.821,70.77,1005.93,31.238,61.04,0.433
WS-North,2025-04-01 06:30:00,238.093,173.182,107.509,20.98,C,2.584,57.52,1010.07,80.614,9.76,0.645
WS-North,2025-04-01 06:45:00,189.425,129.101,98.828,22.96,C,1.606,77.57,1000.72,24.863,51.35,0.177
WS-North,2025-04-01 07:00:00,155.661,129.454,63.766,20.42,C,10.081,65.95,1010.19,67.864,49.82,0.085
WS-North,2025-04-01 07:15:00,220.874,162.211,86.39,19.91,C,5.017,40.86,1018.12,32.265,20.93,0.245
WS-North,2025-04-01 07:30:00,302.805,241.792,99.275,21.77,C,2.028,55.97,1018.51,84.465,38.43,0.226
WS-North,2025-04-01 07:45:00,346.552,258.28,165.048,21.16,C,6.139,26.34,1019.06,49.09,24.83,0.053
WS-North,2025-04-01 08:00:00,372.713,280.307,133.292,22.01,C,6.348,74.59,1001.56,14.899,23.15,0.154
WS-North,2025-04-01 08:15:00,552.861,440.624,193.075,22.88,C,6.414,34.19,1009.57,55.255,23.46,0.174
WS-North,2025-04-01 08:30:00,518.699,440.228,204.044,23.12,C,5.5,40.54,1007.52,59.748,36.84,0.281
WS-North,2025-04-01 08:45:00,452.003,319.776,187.611,27.61,C,7.801,40.96,1011.99,33.428,48.28,0.138
WS-North,2025-04-01 09:00:00,424.849,323.602,136.124,28.73,C,10.865,55.2,1022.16,46.91,36.38,0.96
WS-North,2025-04-01 09:15:00,448.395,379.4,161.028,28.21,C,2.613,29.88,1015.62,29.416,20.87,0.133
WS-North,2025-04-01 09:30:00,646.041,450.022,254.25,25.57,C,5.802,23.78,1011.91,54.42,41.54,0.054
WS-North,2025-04-01 09:45:00,756.577,534.44,292.208,26.75,C,5.883,48.31,1014.43,71.075,0.0,0.239
WS-North,2025-04-01 10:00:00,642.15,455.483,272.523,28.87,C,2.894,43.55,1020.75,29.562,57.98,0.087
WS-North,2025-04-01 10:15:00,884.494,673.098,300.052,32.95,C,8.193,55.46,1013.05,66.103,11.2,0.059
WS-North,2025-04-01 10:30:00,650.45,502.017,261.759,29.8,C,4.254,53.49,1017.72,38.526,34.73,0.026
WS-North,2025-04-01 10:45:00,699.699,575.864,198.016,28.43,C,4.163,53.06,1009.86,24.483,62.8,0.442
WS-North,2025-04-01 11:00:00,848.603,631.138,358.086,29.38,C,9.992,36.74,1013.29,63.598,9.4,0.403
WS-North,2025-04-01 11:15:00,605.117,433.341,292.558,21.7,C,7.626,28.53,1010.35,48.411,48.81,0.263
WS-North,2025-04-01 11:30:00,542.242,398.924,251.404,29.73,C,8.352,27.95,1019.47,12.283,44.07,0.281
WS-North,2025-04-01 11:45:00,458.866,302.637,239.538,29.23,C,5.958,48.82,1013.43,46.77,25.19,0.996
WS-North,2025-04-01 12:00:00,635.607,433.925,285.205,28.89,C,2.507,37.4,1002.45,68.851,60.92,0.552
WS-North,2025-04-01 12:15:00,624.385,487.119,249.765,27.49,C,5.851,40.82,1004.36,19.959,49.94,0.354
WS-North,2025-04-01 12:30:00,592.369,485.295,251.099,29.85,C,16.078,39.3,1009.99,37.95,40.58,0.532
WS-North,2025-04-01 12:45:00,798.096,635.877,336.565,29.68,C,10.593,13.91,1014.19,12.523,33.63,0.055
WS-North,2025-04-01 13:00:00,902.093,657.599,355.364,33.56,C,5.013,43.92,1027.52,76.931,56.47,0.742
WS-North,2025-04-01 13:15:00,815.853,613.513,353.769,26.79,C,3.602,39.56,1017.42,57.889,35.31,0.539
WS-North,2025-04-01 13:30:00,797.85,664.689,301.84,30.81,C,11.358,27.91,1008.69,47.048,44.69,0.301
WS-North,2025-04-01 13:45:00,759.147,591.754,228.773,25.4,C,7.98,22.29,1020.42,33.146,34.88,0.15
WS-North,2025-04-01 14:00:00,607.039,465.713,205.979,26.87,C,13.163,65.22,1022.59,22.416,39.41,0.147
WS-North,2025-04-01 14:15:00,360.235,265.49,161.978,23.95,C,15.477,56.68,1013.14,40.4,31.42,0.507
WS-North,2025-04-01 14:30:00,761.458,602.645,322.621,26.3,C,11.87,24.44,1021.13,68.911,42.69,0.023
WS-North,2025-04-01 14:45:00,739.901,610.461,253.716,25.4,C,3.008,64.54,1003.53,25.689,44.61,0.403
WS-North,2025-04-01 15:00:00,701.239,551.099,290.193,27.72,C,11.17,18.16,1027.11,75.863,43.89,0.053
WS-North,2025-04-01 15:15:00,523.399,395.796,177.503,27.41,C,6.241,66.03,1006.86,69.508,13.14,0.119
WS-North,2025-04-01 15:30:00,593.106,425.476,282.983,25.84,C,6.202,38.27,1015.09,65.859,69.62,0.171
WS-North,2025-04-01 15:45:00,471.85,339.728,197.65,24.29,C,2.329,51.89,1001.11,49.072,55.87,0.187
WS-North,2025-04-01 16:00:00,399.403,320.936,172.575,24.75,C,7.01,37.41,1016.71,11.449,51.97,0.038
WS-North,2025-04-01 16:15:00,228.255,188.883,75.523,23.44,C,10.739,37.09,1018.47,33.271,72.37,0.411
WS-North,2025-04-01 16:30:00,285.301,196.535,129.186,21.98,C,10.683,26.68,993.9,79.311,42.72,0.067
WS-North,2025-04-01 16:45:00,384.534,259.134,158.513,15.1,C,8.573,34.16,1012.94,78.629,43.43,0.488
